sheet_title,breakdown,scenario,series,unit,year,value
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2035,62.89
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2036,67.47
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2037,71.6
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2038,75.98
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2039,77.0
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2040,78.36
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2041,79.39
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2042,80.35
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2043,80.86
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2044,81.65
Figure 2: High-Demand Scenario Demand Forecast by Sector,sector,High-Demand,Commercial Sector with Data Centres,Net Annual Energy Demand (TWh),2045,82.08
